SEÐLABANKI ÍSLANDS,,,,,,,,,,,,,,
Upplýsingatækni og gagnasöfnun,,,,,HAGTÖLUR SEÐLABANKANS,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,Bankavextir og dráttarvextir (%),,,,,,,,,
,,,,,, í lok hvers mánaðar,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Innláns-vextir 1,,Óverðtryggð skuldabréfalán 1,,,Verðtryggð skuldabréfalán 1,,,Vextir birtir af SÍ skv. lögum nr. 38/2001,,,,
,,Almennir spari- reikningar 2,,Lægstu vextir,Hæstu vextir,,Lægstu vextir,Hæstu vextir,,Dráttarvextir pen.krafna í krónum 3,Almennir vextir óverðtryggðra lána 4,Almennir vextir verð-tryggðra lána 4,Vextir af skaðabóta-kröfum 5,
,,,,,,,,,,,,,,
,Nóvember,0.09,,5.05,11.55,,2.90,10.30,,11.00,5.20,2.90,3.47,
,Desember,0.09,,5.05,11.45,,2.90,10.30,,10.75,5.20,2.90,3.47,
,,,,,,,,,,,,,,
2020,Janúar,0.09,,5.05,11.45,,2.90,10.30,,10.75,5.05,2.90,3.37,
,Febrúar,0.09,,4.90,11.35,,2.90,10.15,,10.75,5.05,2.90,3.37,
,Mars,0.09,,4.19,10.95,,2.79,10.15,,10.50,4.95,2.90,3.30,
,Apríl,0.09,,4.00,10.90,,2.30,10.15,,9.50,4.90,2.90,3.27,
,Maí,0.09,,4.00,10.90,,2.30,10.15,,9.50,4.04,2.40,2.69,
,Júní,0.05,,3.50,10.90,,2.00,10.15,,8.75,4.00,2.30,2.67,
,Júlí,0.05,,3.50,10.90,,2.00,10.15,,8.75,3.50,2.00,2.34,
,Ágúst,0.05,,3.50,10.90,,2.00,10.15,,8.75,3.50,2.00,2.34,
,September,0.05,,3.50,10.90,,1.95,10.15,,8.75,3.50,2.00,2.34,
,Október,0.05,,3.50,10.90,,1.95,10.15,,8.75,3.50,1.95,2.34,
